Thread lengths
Thread (DMC)	Description	Stitches	Backstitches	Length(m)	Backs	Total
154	Prune rose	89	0	  0.4	  0.0	  0.4
307	Lemon 	2	411	  0.1	  0.6	  0.7
310	Black 	352	451	  1.8	  0.7	  2.5
310	Black 	0	678	  0.0	  2.1	  2.1
315	Antique lilac	118	0	  0.6	  0.0	  0.6
444	Bright yellow  	44	0	  0.2	  0.0	  0.2
543	Shell beige 	324	193	  1.6	  0.3	  1.9
552	Violet 	34	0	  0.2	  0.0	  0.2
553	Amethyst violet 	66	0	  0.3	  0.0	  0.3
677+	+ ECRUT	45	0	  0.2	  0.0	  0.2
730	Khaki green	34	196	  0.2	  0.6	  0.8
732	Bronze green	194	0	  1.0	  0.0	  1.0
733	Golden green	100	138	  0.5	  0.4	  0.9
734	Light Olive green	38	0	  0.2	  0.0	  0.2
742	Light tangerine	19	264	  0.1	  0.4	  0.5
783	Old gold 	59	0	  0.3	  0.0	  0.3
830	Green oak brown 	16	264	  0.1	  0.4	  0.5
831	Green bronze 	32	0	  0.2	  0.0	  0.2
832	Light green bronze 	103	48	  0.5	  0.1	  0.6
833	Brass 	58	0	  0.3	  0.0	  0.3
834	Light brass 	34	0	  0.2	  0.0	  0.2
898	Teak brown 	11	0	  0.1	  0.0	  0.1
902	Garnet red 	70	0	  0.4	  0.0	  0.4
934	Algae green 	206	0	  1.0	  0.0	  1.0
935	Undergrowth green 	222	0	  1.1	  0.0	  1.1
936	Oaktree moss green 	176	0	  0.9	  0.0	  0.9
975	Chestnut brown	27	398	  0.1	  0.6	  0.8
976	Nutmeg brown	68	208	  0.3	  0.3	  0.7
3021	Cliff grey	7	510	  0.1	  0.8	  0.9
3032	Dark antique silver	0	386	  0.0	  0.6	  0.6
3046	Rye beige 	172	0	  0.9	  0.0	  0.9
3688	Pink mauve 	50	0	  0.2	  0.0	  0.2
3689	Rose petal pink 	21	0	  0.1	  0.0	  0.1
3726	Dark antique mauve 	124	0	  0.6	  0.0	  0.6
3790	Cappuccino brown 	10	462	  0.1	  0.7	  0.8
3822	Light straw yellow	649	34	  1.6	  0.1	  1.7
3822	Light straw yellow	6	89	  0.1	  0.1	  0.2
3826	Golden brown	40	0	  0.2	  0.0	  0.2
3836	Light grape	26	0	  0.1	  0.0	  0.1
ECRUT+3866	+ 	748	0	  3.8	  0.0	  3.8
3866	Garlic cream 	567	0	  2.9	  0.0	  2.9
902+154	+ 	90	0	  0.5	  0.0	  0.5
154+310	+ 	35	0	  0.2	  0.0	  0.2
742+444	+ 	54	0	  0.3	  0.0	  0.3
791+552	+ 	23	0	  0.1	  0.0	  0.1
833+676	+ 	37	0	  0.2	  0.0	  0.2
543+677	+ 	151	0	  0.8	  0.0	  0.8
936+730	+ 	32	0	  0.2	  0.0	  0.2
831+730	+ 	36	0	  0.2	  0.0	  0.2
936+732	+ 	132	0	  0.7	  0.0	  0.7
732+733	+ 	166	0	  0.8	  0.0	  0.8
733+734	+ 	45	0	  0.2	  0.0	  0.2
783+742	+ 	54	0	  0.3	  0.0	  0.3
833+783	+ 	34	0	  0.2	  0.0	  0.2
154+791	+ 	34	0	  0.2	  0.0	  0.2
830	Green oak brown 	10	0	  0.1	  0.0	  0.1
3021+830	+ 	12	0	  0.1	  0.0	  0.1
830+831	+ 	8	0	  0.1	  0.0	  0.1
831	Green bronze 	24	0	  0.1	  0.0	  0.1
732+832	+ 	84	0	  0.4	  0.0	  0.4
833	Brass 	316	0	  1.6	  0.0	  1.6
834	Light brass 	882	0	  4.4	  0.0	  4.4
310+934	+ 	260	0	  1.3	  0.0	  1.3
898+936	+ 	28	46	  0.1	  0.1	  0.2
832+976	+ 	56	0	  0.3	  0.0	  0.3
543+3046	+ 	326	0	  1.6	  0.0	  1.6
734+3046	+ 	26	0	  0.1	  0.0	  0.1
3822+3046	+ 	16	0	  0.1	  0.0	  0.1
3836+3688	+ 	40	0	  0.2	  0.0	  0.2
3688+3689	+ 	106	0	  0.5	  0.0	  0.5
3688+3726	+ 	150	0	  0.8	  0.0	  0.8
3822	Light straw yellow	1180	0	  5.9	  0.0	  5.9
834+3822	+ 	919	0	  4.6	  0.0	  4.6
543+3866	+ 	495	0	  2.5	  0.0	  2.5
3021	Cliff grey	9	0	  0.1	  0.0	  0.1
BLANC	BLANC	0	136	  0.0	  0.2	  0.2
ECRUT	ECRUT	1031	0	  5.2	  0.0	  5.2
BLANC+	+ ECRUT	639	0	  3.2	  0.0	  3.2
