Thread lengths for Блюдо с фруктами
Thread (DMC)	Description	Stitches	Backstitches	Length(m)	Backs	Total
310	Black 	3	164	  0.1	  0.3	  0.4
341	Hydrangea blue 	182	0	  0.9	  0.0	  0.9
420	Hazelnut 	96	0	  0.5	  0.0	  0.5
612	String brown 	1678	0	  8.5	  0.0	  8.5
613+	+ ECRUT	347	0	  1.7	  0.0	  1.7
613	Rope brown 	1032	0	  5.2	  0.0	  5.2
613	Rope brown 	42	0	  0.1	  0.0	  0.1
613	Rope brown 	370	0	  0.9	  0.0	  0.9
644	Light green grey 	342	0	  1.7	  0.0	  1.7
646	Platinum grey 	196	0	  1.0	  0.0	  1.0
647	Rock grey 	333	0	  1.7	  0.0	  1.7
648	Pepper grey	234	0	  1.2	  0.0	  1.2
677+	+ ECRUT	162	0	  0.8	  0.0	  0.8
677	Sand gold	168	0	  0.8	  0.0	  0.8
680	Dark old gold	90	0	  0.5	  0.0	  0.5
726	Mimosa yellow	277	0	  1.4	  0.0	  1.4
727	Primrose yellow	77	0	  0.4	  0.0	  0.4
791	Dark cornflower blue 	0	251	  0.0	  0.8	  0.8
791	Dark cornflower blue 	0	257	  0.0	  0.4	  0.4
797	Royal blue 	170	0	  0.9	  0.0	  0.9
798	Cobalt blue 	170	0	  0.9	  0.0	  0.9
799	Horizon blue 	148	0	  0.7	  0.0	  0.7
801	Mink brown 	0	538	  0.0	  0.8	  0.8
822	Cotton cream 	0	697	  0.0	  1.1	  1.1
822	Cotton cream 	188	0	  0.9	  0.0	  0.9
831	Green bronze 	233	0	  1.2	  0.0	  1.2
832	Light green bronze 	310	0	  1.6	  0.0	  1.6
833	Brass 	390	0	  2.0	  0.0	  2.0
834	Light brass 	238	0	  1.2	  0.0	  1.2
841	Deer brown 	11	0	  0.1	  0.0	  0.1
842	Beige rope 	32	0	  0.2	  0.0	  0.2
869	Coffee brown 	56	0	  0.3	  0.0	  0.3
3011	Artichoke green	246	0	  1.2	  0.0	  1.2
3012	Marsh green	439	0	  2.2	  0.0	  2.2
3013	Resin green	398	0	  2.0	  0.0	  2.0
3021	Cliff grey	0	826	  0.0	  1.3	  1.3
3031	Dark Mocha brown	105	0	  0.5	  0.0	  0.5
3032	Dark antique silver	38	0	  0.2	  0.0	  0.2
3051	Olive tree green 	90	0	  0.5	  0.0	  0.5
3371	Ebony 	88	912	  0.4	  1.4	  1.9
3779	Pale terracotta 	8	0	  0.1	  0.0	  0.1
3787	Wolf grey 	10	0	  0.1	  0.0	  0.1
3790	Cappuccino brown 	286	847	  1.4	  1.3	  2.8
3821	Straw yellow	743	0	  3.7	  0.0	  3.7
3858	Medium red wine 	10	0	  0.1	  0.0	  0.1
3859	Clay red 	6	0	  0.1	  0.0	  0.1
799+341	+ 	187	0	  0.9	  0.0	  0.9
613+612	+ 	2007	0	 10.1	  0.0	 10.1
341+644	+ 	128	0	  0.6	  0.0	  0.6
798+646	+ 	68	0	  0.3	  0.0	  0.3
798+647	+ 	165	0	  0.8	  0.0	  0.8
646+647	+ 	210	0	  1.1	  0.0	  1.1
644+647	+ 	124	0	  0.6	  0.0	  0.6
842+647	+ 	20	0	  0.1	  0.0	  0.1
647+648	+ 	228	0	  1.1	  0.0	  1.1
644+648	+ 	268	0	  1.3	  0.0	  1.3
613+677	+ 	412	0	  2.1	  0.0	  2.1
727+726	+ 	132	0	  0.7	  0.0	  0.7
798+799	+ 	134	0	  0.7	  0.0	  0.7
644+822	+ 	230	0	  1.2	  0.0	  1.2
3852+832	+ 	197	0	  1.0	  0.0	  1.0
834+833	+ 	302	0	  1.5	  0.0	  1.5
3820+833	+ 	486	0	  2.5	  0.0	  2.5
612+833	+ 	215	0	  1.1	  0.0	  1.1
613+834	+ 	404	0	  2.0	  0.0	  2.0
3013+834	+ 	148	0	  0.7	  0.0	  0.7
3051+3011	+ 	144	0	  0.7	  0.0	  0.7
3012+3011	+ 	316	0	  1.6	  0.0	  1.6
833+3012	+ 	152	0	  0.8	  0.0	  0.8
613+3013	+ 	278	0	  1.4	  0.0	  1.4
3790+3032	+ 	54	0	  0.3	  0.0	  0.3
646+3787	+ 	102	0	  0.5	  0.0	  0.5
797+3787	+ 	76	0	  0.4	  0.0	  0.4
3031+3790	+ 	161	0	  0.8	  0.0	  0.8
612+3790	+ 	617	0	  3.1	  0.0	  3.1
834+3820	+ 	581	0	  2.9	  0.0	  2.9
834+3821	+ 	1004	0	  5.1	  0.0	  5.1
726+3821	+ 	582	0	  2.9	  0.0	  2.9
833+3852	+ 	310	0	  1.6	  0.0	  1.6
ECRUT	ECRUT	84	0	  0.4	  0.0	  0.4
