Thread lengths
Thread (DMC)	Description	Stitches	Backstitches	Length(m)	Backs	Total
155	Mauve violet	566	0	  2.9	  0.0	  2.9
156	Lavender 	444	0	  2.2	  0.0	  2.2
307	Lemon 	205	0	  1.0	  0.0	  1.0
310	Black 	186	3677	  0.9	  5.8	  6.7
310	Black 	0	704	  0.0	  2.2	  2.2
327	Dark violet 	204	0	  1.0	  0.0	  1.0
333	Deep violet 	769	0	  3.9	  0.0	  3.9
420	Hazelnut 	727	0	  3.7	  0.0	  3.7
422	Light oak 	161	0	  0.8	  0.0	  0.8
444	Bright yellow  	223	0	  1.1	  0.0	  1.1
445	Light lemon 	227	0	  1.1	  0.0	  1.1
470	Olive green 	824	0	  4.2	  0.0	  4.2
502	Blue green 	688	0	  3.5	  0.0	  3.5
503	Thyme green 	499	0	  2.5	  0.0	  2.5
580	Cactus green 	924	0	  4.7	  0.0	  4.7
640	Green grey 	0	361	  0.0	  0.6	  0.6
677	Sand gold	285	0	  1.4	  0.0	  1.4
702	Fresh green	94	0	  0.5	  0.0	  0.5
703	Springtime green	116	0	  0.6	  0.0	  0.6
732	Bronze green	518	0	  2.6	  0.0	  2.6
733	Golden green	506	0	  2.5	  0.0	  2.5
734	Light Olive green	543	0	  2.7	  0.0	  2.7
740	Orange	144	0	  0.7	  0.0	  0.7
741	Tangerine orange	124	0	  0.6	  0.0	  0.6
746	Vanillla	404	0	  2.0	  0.0	  2.0
782	Wicker brown 	230	0	  1.2	  0.0	  1.2
783	Old gold 	312	0	  1.6	  0.0	  1.6
823	Blueberry blue 	262	0	  1.3	  0.0	  1.3
831	Green bronze 	611	0	  3.1	  0.0	  3.1
832	Light green bronze 	349	0	  1.8	  0.0	  1.8
833	Brass 	225	0	  1.1	  0.0	  1.1
838	Dark wood 	647	0	  3.3	  0.0	  3.3
839	Root brown 	1013	0	  5.1	  0.0	  5.1
869	Coffee brown 	1055	0	  5.3	  0.0	  5.3
838	Dark wood 	19	1423	  0.1	  2.2	  2.3
907	Granny Smith green 	535	0	  2.7	  0.0	  2.7
