Длины нитей
Нить (DMC)	Описание	Стежки	Бэкстичи	Длина (м)	Бэкстичи	Всего
166	Moss green	124	0	  0.6	  0.0	  0.6
310	Black 	0	350	  0.0	  0.5	  0.5
310	Black 	577	568	  2.6	  1.8	  4.4
321	Red	130	0	  0.7	  0.0	  0.7
606	Red orange 	178	0	  0.8	  0.0	  0.8
608	Pansy orange 	122	0	  0.6	  0.0	  0.6
666	Bright red	149	0	  0.8	  0.0	  0.8
814	Deep wine red 	62	0	  0.3	  0.0	  0.3
815	Cherry red 	65	0	  0.3	  0.0	  0.3
904	Avocado green 	68	0	  0.3	  0.0	  0.3
906	Apple green 	157	0	  0.8	  0.0	  0.8
907	Granny Smith green 	160	0	  0.8	  0.0	  0.8
940	DMC:E	38	0	  0.2	  0.0	  0.2
951	Light eggshell cream	265	0	  1.3	  0.0	  1.3
3340	Apricot 	193	0	  1.0	  0.0	  1.0
3770	Pale eggshell cream 	372	0	  1.7	  0.0	  1.7
3824	Light apricot	250	0	  1.3	  0.0	  1.3
B5200	Bright white 	496	172	  2.5	  0.5	  3.0
E321(K29)	Red	271	0	  1.2	  0.0	  1.2
3824+310	+ 	74	0	  0.4	  0.0	  0.4
310+951	+ 	166	0	  0.8	  0.0	  0.8
3770+951	+ 	317	0	  1.6	  0.0	  1.6
666+5200	+ B	95	0	  0.5	  0.0	  0.5
608+5200	+ B	111	0	  0.6	  0.0	  0.6
