Длины нитей для Целитель
Нить (DMC)	Описание	Стежки	Бэкстичи	Длина (м)	Бэкстичи	Всего
32	Dark Blueberry	119	0	  0.6	  0.0	  0.6
155	Mauve violet	71	0	  0.4	  0.0	  0.4
156	Lavender 	162	0	  0.8	  0.0	  0.8
310	Black 	675	2121	  3.2	  6.7	  9.8
310	Black 	218	899	  0.8	  1.4	  2.2
317	Steel grey	910	0	  4.6	  0.0	  4.6
318	Granite grey	1042	0	  5.3	  0.0	  5.3
333	Deep violet 	52	0	  0.3	  0.0	  0.3
413	Iron grey 	1080	0	  5.4	  0.0	  5.4
414	Lead grey 	650	0	  3.3	  0.0	  3.3
415	Chrome grey 	1365	0	  6.9	  0.0	  6.9
666	Bright red	132	0	  0.7	  0.0	  0.7
762	Pearl grey	823	0	  4.1	  0.0	  4.1
951	Light eggshell cream	277	0	  1.4	  0.0	  1.4
964	Light sea green	326	0	  1.5	  0.0	  1.5
995	Carribean blue	150	0	  0.8	  0.0	  0.8
3770	Pale eggshell cream 	240	0	  1.2	  0.0	  1.2
3799	Anthracite grey 	755	0	  3.8	  0.0	  3.8
3801	Tulip red 	60	0	  0.3	  0.0	  0.3
3811	Waterfall blue 	178	0	  0.9	  0.0	  0.9
3844	Electric blue 	205	0	  0.9	  0.0	  0.9
3846	Light turquoise 	224	0	  1.0	  0.0	  1.0
3856	Pale beechwood 	408	0	  2.1	  0.0	  2.1
3865	Winter white 	535	232	  2.2	  0.7	  2.9
E162(C9)	Very light blue	128	0	  0.6	  0.0	  0.6
E130(K17)	asffgg	76	0	  0.4	  0.0	  0.4
Е321(K29)	Red	289	0	  1.3	  0.0	  1.3
E797(K34)	Royal blue 	275	0	  1.2	  0.0	  1.2
E3837(K37)	Deep violet	52	0	  0.3	  0.0	  0.3
Е5200(K39)	fhhjhdjhf	323	0	  1.6	  0.0	  1.6
3856+310	+ 	85	0	  0.4	  0.0	  0.4
415+318	+ 	658	0	  3.3	  0.0	  3.3
803+321	+ 	0	149	  0.0	  0.2	  0.2
317+413	+ 	710	0	  3.6	  0.0	  3.6
156+415	+ 	154	0	  0.8	  0.0	  0.8
415+762	+ 	583	0	  2.9	  0.0	  2.9
B5200+79734	+ E(K)	41	0	  0.2	  0.0	  0.2
310+3799	+ 	614	0	  3.1	  0.0	  3.1
964+3811	+ 	154	0	  0.8	  0.0	  0.8
964+3846	+ 	158	0	  0.8	  0.0	  0.8
E797(K34)+995	+ 	71	0	  0.4	  0.0	  0.4
