Floss#,Description,Red,Green,Blue,RGB code
E130,Gemstones,255,255,255,FFFFFF
E135,Golden Dawn,255,255,255,FFFFFF
E155,Amethyst,151,116,182,9774B6
E168,Silver,177,174,183,B1AEB7
E211,Lilac,229,189,237,E5BDED
E301,Copper,170,82,55,AA5237
E310,Ebony,0,0,0,000000
E316,Pink Amethyst,188,117,127,BC757F
E317,Titanium,109,100,105,6D6469
E321,Red Ruby,189,17,54,BD1136
E334,Blue Topaz,96,133,184,6085B8
E3685,Rosewood,121,38,59,79263B
E3747,Sky Blue,184,204,228,B8CCE4
E3821,Light Gold,234,189,0,EABD00
E3837,Purple Ruby,112,48,160,7030A0
E3843,Light Blue Sapphire,0,176,240,00B0F0
E3849,Aquamarine Blue,0,255,153,00FF99
E3852,Dark Gold,204,165,0,CCA500
E415,Pewter,184,185,189,B8B9BD
E436,Golden Oak,199,133,89,C78559
E5200,White,255,255,255,FFFFFF
E677,White Gold,242,220,159,F2DC9F
E699,Green Emerald,7,91,38,075B26
E703,Light Green Emerald,99,179,48,63B330
E718,Pink Garnet,203,32,137,CB2089
E746,Cream,250,242,213,FAF2D5
E747,Baby Blue,206,233,234,CEE9EA
E815,Dark Red Ruby,128,11,52,800B34
E818,Soft Pink,254,222,221,FEDEDD
E825,Blue Sapphire,52,88,143,34588F
E898,Dark Oak,83,47,27,532F1B
E940,Glow-In-The-Dark,255,255,255,FFFFFF
E966,Lime,148,210,138,94D28A
E967,Soft Peach,255,194,172,FFC2AC
E980,Neon Yellow,240,255,0,F0FF00
E990,Neon Green,6,236,33,06EC21
